14.4183	66.75
14.8317	71.25
15.245	72.25
15.6583	73.25
16.0716	70.75
16.4827	72.75
16.896	75.75
17.3092	64.75
17.7224	72.75
18.1356	73.25
18.5488	70.75
18.962	77.75
19.3751	66.75
19.7883	62.75
20.2014	61.75
20.6123	69.25
21.0254	53.75
21.4385	61.25
21.8515	67.75
22.2645	58.75
22.6775	50.75
23.0905	62.75
23.5035	55.25
23.9164	58.25
24.3272	62.25
24.7401	73.75
25.153	68.75
25.5659	71.25
25.9787	68.75
26.3916	65.75
26.8044	72.25
27.2172	57.75
27.6278	56.75
28.0406	61.25
28.4534	58.25
28.8661	53.25
29.2788	53.75
29.6915	51.25
30.1042	54.75
30.5147	57.25
30.9273	59.25
31.34	63.75
31.7526	66.75
32.1651	55.75
32.5777	57.25
32.9881	51.75
33.4006	58.25
33.8132	59.25
34.2257	65.25
34.6381	64.25
35.0506	68.75
35.463	64.75
35.8733	74.75
36.2857	75.75
36.6981	78.75
37.1105	67.75
37.5228	73.75
37.9351	76.75
38.3453	94.75
38.7576	127.75
39.1699	182.75
39.5821	242.75
39.9944	308.75
40.4045	391.75
40.8167	439.75
41.2289	380.25
41.641	271.25
42.0532	178.25
42.4653	124.75
42.8753	108.75
43.2874	78.75
43.6995	72.75
44.1115	52.75
44.5236	69.25
44.9334	57.75
45.3454	63.25
45.7574	64.75
46.1694	79.75
46.5814	84.75
46.9911	113.25
47.4031	132.75
47.815	165.75
48.2268	164.25
48.6366	127.75
49.0484	98.25
49.4602	85.75
49.872	65.75
50.2838	61.25
50.6935	57.25
51.1052	63.25
51.5169	55.75
51.9287	55.75
52.3382	53.75
52.7499	56.75
53.1616	44.25
53.5732	55.25
53.9848	50.75
54.3943	55.75
54.8059	58.25
55.2175	56.25
55.629	59.25
56.0384	72.75
56.4499	79.75
56.8614	87.75
57.2729	105.25
57.6822	127.25
58.0937	159.75
58.5051	206.75
58.9165	240.75
59.3258	254.75
59.7371	244.75
60.1485	203.25
60.5598	149.75
60.969	130.25
61.3803	91.25
61.7916	88.25
62.2007	85.75
62.612	72.75
63.0232	67.25
63.4344	66.75
63.8435	61.25
64.2546	59.75
64.6658	58.75
65.0769	64.75
65.4859	48.75
65.897	54.25
66.3081	54.75
66.717	59.75
67.1281	49.75
67.5391	54.75
67.9501	49.75
68.359	50.75
68.77	54.75
69.1809	55.75
69.5897	49.75
70.0007	54.75
70.4116	74.25
70.8203	74.25
71.2312	79.75
71.642	62.75
72.0529	69.75
72.4615	84.25
72.8723	101.25
73.2831	112.75
73.6917	113.75
74.1025	134.75
74.5132	140.75
74.9218	148.25
75.3325	128.25
75.7431	116.25
76.1517	88.75
76.5623	98.75
76.9729	94.25
77.3814	82.75
77.792	87.75
78.2025	102.25
78.6109	109.25
79.0215	141.75
79.432	157.75
79.8403	192.75
80.2508	211.75
80.6612	246.75
81.0695	263.75
81.48	279.25
81.8904	250.25
82.2986	211.75
82.709	174.75
83.1193	147.25
83.5275	113.75
83.9378	102.75
84.3481	75.75
84.7563	67.75
85.1665	64.75
85.5768	54.75
85.9849	54.25
86.3951	43.75
86.8031	50.25
87.2133	60.25
87.6234	56.75
88.0314	50.75
88.4415	45.75
88.8516	49.25
89.2596	40.75
89.6696	56.75
90.0797	53.75
90.4876	61.75
90.8976	58.75
91.3054	56.75
91.7154	48.75
92.1254	47.75
92.5332	48.75
92.9431	53.75
93.3508	55.25
93.7607	54.75
94.1706	49.75
94.5783	53.75
94.9881	43.25
95.3958	42.75
95.8056	49.75
96.2154	48.75
96.623	56.75
97.0327	48.75
97.4403	53.25
97.85	64.75
98.2597	58.25
98.6672	70.25
99.0769	54.75
99.4844	62.25
99.894	58.75
100.304	67.25
100.711	67.25
101.121	82.75
101.528	85.75
101.938	108.25
102.345	113.75
102.754	136.25
103.164	160.25
103.571	180.25
103.981	194.25
104.388	201.75
104.797	196.25
105.205	171.75
105.614	151.75
106.023	126.75
106.43	103.25
106.84	97.25
107.247	80.75
107.656	72.25
108.063	70.25
108.473	50.75
108.88	59.75
109.289	52.25
109.698	56.25
110.105	41.75
110.514	52.75
110.921	49.25
111.33	51.25
111.737	50.25
112.146	44.75
112.553	52.75
112.962	50.25
113.369	51.75
113.778	47.75
114.185	57.75
114.594	56.25
115.001	48.25
115.41	56.75
115.819	53.75
116.225	56.75
116.634	60.25
117.041	53.25
117.45	55.75
117.857	53.75
118.265	53.25
